0,0,0,0,0,0,X,X,X,X,X,X,X,X,X,X,X,X,0,0,0,0,0,0
0,0,0,0,0,0,0,0,X,0,0,0,X,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,X,0,0,0,0,0,0,0,0,0,0,0
X,0,0,0,0,0,0,0,0,0,0,0,X,0,0,0,0,0,0,0,0,0,0,X
X,0,0,0,0,X,0,0,0,0,0,0,X,0,0,0,0,0,0,0,0,0,X,X
X,0,0,0,0,0,0,0,0,0,0,0,X,0,0,0,0,X,0,0,0,0,X,X
X,F,0,0,0,0,0,0,X,0,0,0,X,0,0,0,0,X,0,0,0,0,X,X
X,S,S,S,0,0,0,0,0,0,0,0,X,0,0,0,0,X,0,0,0,0,X,X
X,X,X,0,0,0,0,0,0,0,0,0,X,0,0,0,0,X,0,0,0,0,X,X
X,X,0,0,0,0,0,0,0,0,0,0,X,0,0,0,0,X,0,0,0,0,X,X
X,0,0,0,0,0,0,0,0,0,0,0,X,0,0,0,0,X,0,0,0,0,X,X
X,0,0,0,0,0,0,0,0,0,0,0,X,0,0,0,0,X,0,0,0,0,X,X
X,0,0,0,0,0,0,0,0,0,0,0,X,0,0,0,0,X,0,0,0,0,X,X
X,0,0,0,0,X,0,0,0,0,0,0,X,0,0,0,0,X,0,0,0,0,X,X
X,0,0,0,0,0,0,0,0,0,0,0,X,0,0,0,0,X,0,0,0,0,X,X
X,0,0,0,0,0,0,0,0,0,0,0,X,0,0,0,0,X,0,0,0,0,X,X
X,X,0,0,0,0,0,0,0,0,X,0,X,0,0,0,0,X,0,0,0,0,X,X
X,0,0,0,0,0,0,0,0,0,0,0,X,0,0,0,0,X,0,0,0,0,X,X
X,0,0,0,0,0,0,0,0,0,0,0,X,0,0,0,0,X,0,0,0,0,X,X
X,0,0,0,0,0,0,0,0,0,0,0,X,0,0,0,0,X,0,0,0,0,X,X
X,0,0,0,0,0,0,0,0,0,0,0,X,0,0,0,0,X,0,0,0,0,X,X
X,0,0,0,0,0,0,0,0,0,0,0,X,0,0,0,0,X,0,0,0,0,X,X
X,0,X,0,0,0,0,0,0,0,0,0,X,0,0,0,0,X,0,0,0,0,X,X
X,0,0,0,0,0,0,0,0,0,0,0,X,0,0,0,0,X,0,0,0,0,X,X
X,0,0,0,0,0,0,0,0,0,0,0,X,0,0,0,0,X,0,0,0,0,X,X
X,0,0,0,0,0,0,0,X,0,0,0,0,0,0,0,0,X,0,0,0,0,X,X
X,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,X,0,0,0,0,X,X
X,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,X,0,0,0,0,X,X
X,0,0,0,0,0,0,0,0,0,0,0,0,0,0,X,0,X,0,0,0,0,X,X
X,0,0,0,X,0,0,X,0,0,0,0,0,0,0,0,0,X,0,0,0,0,X,X
X,0,0,0,X,0,0,X,0,0,0,0,X,0,0,0,0,X,0,0,M,0,X,X
X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,S,S,S,S,X,X
